ticker,signal_type,detection_date,price_at_signal,signal_priority,ml_confidence,enhancement_used
QMMM,HIGH_4W,2026-06-01,119.4,59.0,,0
QMMM,HIGH_2W,2026-06-01,119.4,57.0,,0
QMMM,LOW_4W,2026-06-01,119.4,54.0,,0
PSNYW,LOW_2W,2026-06-01,2.5,52.0,,0
QMMM,LOW_2W,2026-06-01,119.4,52.0,,0
