ticker,signal_type,detection_date,price_at_signal,signal_priority,ml_confidence,enhancement_used
2291.KL,HIGH_12W,2026-05-18,5.33,61.0,,0
0041.KL,HIGH_12W,2026-05-18,0.01,61.0,,0
2291.KL,HIGH_4W,2026-05-18,5.33,59.0,,0
0041.KL,HIGH_4W,2026-05-18,0.01,59.0,,0
2291.KL,HIGH_2W,2026-05-18,5.33,57.0,,0
5108.KL,HIGH_2W,2026-05-18,2.62,57.0,,0
0041.KL,HIGH_2W,2026-05-18,0.01,57.0,,0
5681.KL,LOW_4W,2026-05-18,17.84,54.0,,0
5681.KL,LOW_2W,2026-05-18,17.84,52.0,,0
5258.KL,LOW_2W,2026-05-18,2.27,52.0,,0
