ticker,company_name
SOXX,iShares Semiconductor ETF
SMH,VanEck Semiconductor ETF
XSD,SPDR S&P Semiconductor ETF
SOXL,Direxion Daily Semiconductor Bull 3X Shares
AIQ,Global X Artificial Intelligence & Technology ETF
BOTZ,Global X Robotics & Artificial Intelligence ETF
DTCR,Global X Data Center & Digital Infrastructure ETF
IDAT,Invesco AI and Next Gen Software ETF
ROBO,ROBO Global Robotics and Automation Index ETF
