ticker,signal_type,detection_date,price_at_signal,signal_priority,ml_confidence,enhancement_used
BBDO,LOW_4W,2026-06-01,2.91,54.0,,0
WDS,LOW_2W,2026-06-01,21.33,52.0,,0
BBDO,LOW_2W,2026-06-01,2.91,52.0,,0
