ticker,signal_type,detection_date,price_at_signal,signal_priority,ml_confidence,enhancement_used
5242.KL,HIGH_2W,2026-05-11,0.14,57.0,,0
0041.KL,HIGH_2W,2026-05-11,0.01,,,0
0041.KL,HIGH_4W,2026-05-11,0.01,,,0
0041.KL,HIGH_12W,2026-05-11,0.01,,,0
