ticker,signal_type,detection_date,price_at_signal,signal_priority,ml_confidence,enhancement_used
03019.KL,HIGH_12W,2026-06-22,0.13,61.0,,0
5250.KL,HIGH_12W,2026-06-22,2.01,61.0,,0
0058.KL,HIGH_4W,2026-06-22,1.73,59.0,,0
0159.KL,HIGH_4W,2026-06-22,0.01,59.0,,0
03019.KL,HIGH_4W,2026-06-22,0.13,59.0,,0
0388.KL,HIGH_4W,2026-06-22,0.57,59.0,,0
5188.KL,HIGH_4W,2026-06-22,0.05,59.0,,0
5250.KL,HIGH_4W,2026-06-22,2.01,59.0,,0
0058.KL,HIGH_2W,2026-06-22,1.73,57.0,,0
0159.KL,HIGH_2W,2026-06-22,0.01,57.0,,0
